,jaw_dot_dot,tongue_dot_dot,shape_dot_dot,apex_dot_dot,lip_ht_dot_dot,lip_pr_dot_dot
0,-2830.527424812318,1614.9187833070755,4295.262470841408,-4851.577281951904,-400.73841810226327,-447.1254348754872
1,19708.081781864166,-72997.83766269684,-15216.677188873286,-55187.85059452057,1136.0222101211534,-3455.490618944168
2,-1916.697025299059,-4164.42021727562,4622.6954460144,-2880.733013153076,-5483.76739025116,995.4237937927202
3,-4092.1343863010406,-2169.29167509079,-1839.1084671020528,402.04286575317826,2131.544947624205,-830.9453725814808
4,4549.533128738408,-2456.7419290542593,1988.796889781952,1350.8848100900652,-1442.894451320171,-900.6917476654041
5,-3554.0473461151123,847.5905656814575,5574.765205383296,1901.2811779975898,-3320.7529783248874,1125.6015952676537
6,-6038.16866874695,938.3940696716397,-330.00707626342773,-3336.613178253174,1142.074465751648,2825.385332107543
7,-660.221576690676,-2599.283456802366,5178.085267543794,1020.89643478394,-893.4359881095594,-3353.955149650575
8,2573.786973953247,-994.4164752960227,-1069.696545600891,3015.0389671325706,684.2629611492167,2973.9277064800253
9,-453.80115509033203,-1735.8422279357817,2260.894924402237,-3564.0114545822194,2676.440179347992,3062.477111816407
10,212.60678768157746,3335.3161811828654,-3099.864721298218,1251.1855363845814,418.82693767547715,-731.0287654399882
11,-216.15028381348296,-539.1651391983022,3211.3254070281982,1266.889572143559,-1781.350374221805,-5747.6514577865555
12,-5575.086176395416,2944.843918085098,2376.9640922546387,-4480.3810119628815,-1209.7746133804321,448.43316078185813
13,3052.0999431610085,-1298.7172603607178,2517.1315670013387,2267.2557830810547,-826.851725578306,1676.0729253292097
14,-1685.6926679611163,-5266.403555870059,2817.8012371063187,216.51506423949982,2201.8030285835257,-3399.44958686829
15,-5405.761003494267,36474.64871406556,2313.0184412002573,-418.74170303346057,10531.124919652939,9821.902513504027
16,-4694.1421926021585,3031.9376289844513,-119.27843093871849,151.17987990379368,-885.3960037231451,2097.349315881729
17,-1901.4738500118256,-4280.019998550409,1468.0480957031218,-2531.278729438781,-191.814899444579,-2271.9094157218906
18,2518.952190876007,486.34290695190856,-305.3182363510132,2884.4863176345834,-4751.989245414731,-3320.5648511648164
19,-2806.748151779175,3143.3105468750014,205.60331642627716,-3098.994195461273,-1191.8340623378754,-561.3982677459717
20,-1260.5607509613014,-1484.559327363967,-4367.419481277466,1055.9964179992655,1175.5108833312988,870.6260100007061
21,-1380.136013030997,4889.190196990967,-2313.1608963012727,1558.9189529418923,350.55816173553575,2853.864133358001
22,-1275.9003043174732,-2550.0726699829092,-3066.0927295684837,-4365.419745445252,3696.0595846176134,2751.5144646167755
23,-3379.510045051577,-3679.4888973236107,-1014.379858970643,-1863.2364273071378,2800.7608652114873,544.9652671813963
24,-1270.8354741334913,-1514.4610404968262,4879.382550716401,-143.27764511109285,1331.6490687429894,-288.6360883712773
25,118.83556842803848,-7286.7572307586615,2499.935626983644,-215.2727544307713,-3131.3762068748492,946.1683034896882
26,4849.654436111445,-9041.994325816628,4001.3360977172806,-32741.789147257805,10459.291934967045,-9070.839285850525
27,-9183.7739944458,-5186.823010444642,97.85830974578636,1841.8097496032692,1899.5201587676956,-1804.0740489959717
28,-5304.611921310425,-10635.991916060444,-27045.863568782817,-4517.11893081665,5625.660419464113,-7637.746334075926
