,jaw_dot_dot,tongue_dot_dot,shape_dot_dot,apex_dot_dot,lip_ht_dot_dot,lip_pr_dot_dot
0,3156.3150882720947,-2074.728980660439,1057.8581690788271,-621.5681135654452,5393.514931201932,-2281.7254066467285
1,4672.005176544189,2197.7435052394862,624.559968709945,-1897.599482908845,-429.1665554046625,2463.5913968086247
2,1989.1703128814675,3235.1668179035187,247.4573254585274,-420.5294698476787,-3065.2931332588196,1320.4413652420044
3,-625.786781311033,-2521.406039595603,175.52196979522546,1884.0629793703556,-207.13567733764754,2274.1919755935687
4,608.0508232116744,-7107.54819214344,-1524.6278047561666,2321.5506970882416,-3419.7619557380654,804.714560508728
5,-3289.572000503544,-1763.552427291872,109.30299758911292,929.8857767134905,459.61856842041067,-6260.736882686618
6,-5956.41613006592,1867.2777712345126,3718.090653419496,-4640.406593680382,5673.082172870633,-1243.8100576400757
7,-514.9364471435537,154.88952398300336,1840.8000469207764,-3344.261981546879,2335.5352878570548,5563.141107559205
8,3183.2611560821524,1714.1097784042365,-2586.5626335144034,326.736718416214,1454.545557498933,-860.8219027519226
9,1443.9845085144054,-876.4374256134043,-944.0660476684559,1474.966909736397,-2456.073164939879,-5006.125867366791
10,-1385.9921693801857,-701.683908700944,1191.4971470832804,2928.5645484924316,-5912.588238716124,736.9333505630493
11,821.6929435729991,2230.4925322532667,-62.378644943237305,-791.6870713233976,-903.22494506836,2018.399238586426
12,3410.103917121886,-804.0624856948831,787.4035835266124,-3036.637902259827,707.1098685264566,-2099.343985319138
13,-2230.4344177246103,-703.1282782554642,4415.434002876279,3117.7428364753746,-1357.2382926940907,780.9954881668097
14,-4108.327031135559,1575.545370578763,27.595460414886475,5573.652982711793,1865.2987480163595,4982.018172740936
15,-380.44244050979614,-887.9542350769037,-6059.9401593208295,-36.528706550600276,5692.20185279846,154.723823070525
16,3149.666190147399,-969.0868854522694,-1976.1833548545837,-3491.238951683046,1982.6936721801735,-2132.2663128376007
17,5242.912173271179,1422.2776889801025,-742.3061132431019,-2352.2841930389395,-1538.2602810859669,-507.5910687446583
18,2330.843210220338,-930.3021430969238,-623.2789158821106,1523.88334274292,1321.1768865585339,-2546.7169284820557
19,443.53336095809937,-3293.7538623809814,2089.685499668122,2887.8509998321533,-1138.4034156799312,-263.4215354919439
20,-1038.8106107711794,-1261.6050243377686,1098.5597968101501,239.4556999206543,-5674.467086791992,2176.2266755104065
21,-2733.9446544647226,2202.087342739106,1412.6020669937122,-1652.7968645095814,-3301.4562726020813,597.9418754577637
22,882.5457096099854,3573.0165243148795,532.723069190979,-411.96584701538086,629.0954351425171,-1332.8658044338226
23,4767.657518386843,2650.3342390060416,-1239.987611770631,-2127.3511648178132,3838.6148214340196,-3341.0609629936516
24,-28251.50549411773,-26458.06133747101,11756.526827812195,-1381.1421394348145,11648.297011852264,-1849.0639328956604
25,-31071.109771728516,-28548.39414358139,13001.022934913635,1103.93047332764,8964.093923568726,1480.643474496901
26,27158.13755989075,23533.804416656498,-10031.688809394838,-1468.2811498641956,-6265.634894371031,-63.77169163897669
27,-1611.4807128906182,-3173.1343269348185,-98.3852148056009,-22.730231285093083,1072.936356067656,4508.716017007826
28,521.7051506042413,35846.050977706895,-9912.910908460613,9158.295392990107,-6335.386335849763,15209.012776613235
29,2404.2028188705413,36701.69651508331,-8425.788879394533,10728.112161159515,-6942.848563194272,10026.554763317108
30,-1646.931767463684,-32321.895956993103,8421.596586704254,-10153.898000717165,6695.405244827268,-12403.258234262466
31,-2756.0704946517944,5476.908683776853,-1288.1082296371455,-545.0466275215155,-2029.9008488655109,-2908.8562726974487
32,380.7866573333751,-959.9304199218739,-1789.203584194183,591.803491115569,-2451.6981840133626,-1974.0390777587868
33,-3198.934793472289,-3175.839781761163,2930.383384227752,-2507.413029670716,-1910.2489948272673,-408.6363315582286
34,-2441.5063858032236,-359.5262765884376,453.4447193145763,1656.387448310854,-1287.5771522522016,-623.0461597442659
35,21711.652874946587,13355.636596679682,11215.678304433819,-18241.71870946884,-463.07086944580743,-3399.8807519674274
36,-14111.090302467346,-19030.188918113712,4847.739636898037,-17193.05455684662,-7904.100418090815,2844.710350036621
37,33880.525827407844,39816.328287124634,8794.808387756344,-364.5586967468171,7522.208690643308,-4340.064749121669
38,-2909.592390060429,1158.3399772644043,-1783.6850881576524,3373.6634254455566,95.85559368133656,-1520.9555625915548
39,-5269.644260406496,-4704.61845397949,2603.0647754669167,-101.78327560424805,-2321.310937404633,-2196.8168020248404
40,-1355.3977012634257,-2118.7222003936768,926.4874458312988,-5509.52672958374,-2662.6950502395653,-6813.249588012691
41,3396.6219425201325,-1489.8598194122358,-2640.178203582755,-2202.80885696412,1699.2527246475233,-1060.5883598327648
42,1290.4310226440473,-1055.38487434387,-2666.10741615295,4660.172462463383,2620.4252243042,6577.327251434323
43,-2860.3136539459165,1251.4925003051778,-2785.893678665172,537.4908447265625,-1660.3814065456409,1674.4577884674093
44,-958.9850902557462,2729.8784255981423,-2331.3713073730532,-5312.654972076421,-3836.851455271244,-4282.920956611633
45,-874.8257160186831,2394.683361053467,-1753.7581920623757,-859.6348762512118,234.5017716288577,-3576.177358627322
46,-1000.8776187896638,1204.2117118835426,-42.3121452331543,6451.134681701656,3734.1350689530373,-1222.0871448516846
47,2200.068235397343,-230.73196411132812,-57.32893943786408,2652.7976989746003,3555.039688944815,-123.3690977096515
48,30.770301818834156,-3017.340898513794,1732.296943664555,-673.1414794921917,954.0823474526402,79.26106452941895
49,-1817.8629875183105,1146.0685729980469,5324.444770812988,3044.7852611541834,-2900.614924728869,1976.2638211250282
50,31402.813792228717,20178.05337905884,6661.126613616939,-843.4450626373048,8033.162914216518,7941.8498277664185
51,32426.71847343445,16709.043383598328,3324.759006500244,-4261.437654495239,10081.55643939972,5972.308516502381
52,-25971.020460128784,-1896.787881851199,-26072.20560312271,-2899.2784023285,-29126.67542695999,-1564.2890334129354
53,-22274.35350418091,-24719.28656101226,11794.821619987488,29995.340108871464,21088.50121498108,93.21630001068257
54,19775.694012641907,20551.633834838864,26390.664279460907,-25023.845434188843,3174.02511835098,-21460.54409444332
55,-5119.104385375974,-11843.209266662598,-18746.96135520935,-6609.526872634888,-2659.912705421447,21496.88109755516
56,289.26700353622545,3490.1642799377396,2231.8899631500235,-663.3824110031138,-1956.8875432014472,-2157.842218875885
57,2400.0376462936397,-988.6693954467773,-1474.9684929847717,2204.3612599372864,-1752.4690926074975,-5568.689256906508
58,610.0237369537332,-6371.767520904532,-1753.4345388412464,3039.247244596482,3385.626301169394,-3644.6747928857803
59,2241.1966323852503,85.7400894165039,2838.946282863617,3269.348740577697,3218.3942198753357,371.78138270974085
60,5910.955667495728,5673.20585250854,5671.54586315155,1237.1695041656483,-5086.547322571277,-920.9690988063812
61,3472.2808003425603,1967.661380767818,1348.0505347251892,-783.0849289894088,-6549.45120215416,-2944.930009543896
62,-2804.7960996627808,-3441.603183746338,-1054.9366474151611,2410.091608762742,1993.4192020446062,1090.5086249113083
63,-4106.790125370023,-1835.6609344482333,245.0320124626149,-570.8864331245438,6052.703559398651,2118.280474096538
64,-1541.619896888733,1687.7365112304688,-2815.0272369384775,-6001.576632261276,-978.7738509476185,-901.9732475280772
65,-3870.5149292945875,-3255.7225227356043,-2752.278447151182,-3755.9983506798735,-5785.968303680419,2099.7470617294302
66,-2298.8319396972656,-637.7673149108931,-1293.2801246643055,1345.5132022500038,-3713.5672103613615,3541.749715805058
67,-10109.874904155731,-10204.409956932057,3649.5834589004503,2132.5729042291646,11468.667685985565,23856.388330459595
68,-12561.153769493098,-13771.084547042836,7633.053064346312,-2310.072705149651,12943.006418645382,22677.465081214898
69,12920.007109642018,14216.558337211603,-5109.67135429382,4738.202132284642,-12582.17878639698,-26459.95616912841
70,3736.7880344390783,-4242.586493492125,3190.6747817993187,6636.637672781944,3340.558260679245,3289.2298698425334
71,1362.4739646911664,-1804.1038513183614,113.91758918761985,96.14706039428657,3888.7180387973785,6932.716369628902
72,968.8115119934126,2462.8180265426636,-364.6463155746471,-4103.877544403076,-2071.420621359721,1775.0895023345925
73,3231.046199798584,12887.234091758724,9000.591039657593,-22593.889236450195,3278.6672562360764,-13553.417921066279
74,2892.3463821411133,9907.27424621582,7096.3394641876175,-20832.829549908638,8177.368037868291,-15241.422355175018
75,-2120.0299263000466,-9491.392970085144,-9452.323913574215,22871.858030557632,-6041.373085463421,13087.65858411789
76,-2683.038711547854,-1548.7527847290105,466.49217605591707,-1638.0047798156738,-2579.3814659118652,6064.133644104002
77,-2937.905788421631,4337.838888168335,-2689.805030822745,-1287.164688110347,-93.27292442321666,1061.8707537651062
78,-1369.0984249114922,-521.8923091888449,-1551.673412323007,-340.2161598205522,571.801364421845,-620.6852197647073
79,471.49896621703425,-8252.911567687985,1176.9282817840444,-3225.631713867196,-2125.7030963897696,-558.2866072654724
80,-1032.001972198493,-2000.862360000606,-2034.6415042877134,775.0582695007191,-1284.147053956987,-4610.887765884399
81,3083.9943885803264,1075.1199722289996,2043.7395572662397,2812.0732307434123,2600.521743297575,-1000.746488571168
82,2743.67094039917,-2497.5478649139404,6401.826143264768,-4779.732227325421,2210.137695074083,1877.0492076873757
83,-3268.07379722595,299.66354370117614,2594.395875930786,-1899.94096755981,1147.6328969001781,263.6563777923606
84,-1027.057170867913,5430.893898010258,-1399.329900741566,3315.3057098388535,3200.1258432865134,-436.0735416412332
85,2558.432817459104,5043.408870697014,-3946.4783668518066,3338.4799957275254,995.329320430756,-1517.4198150634777
86,-313.2998943328924,2191.83087348938,-4212.01944351198,457.67784118652787,-3449.0175545215607,360.82476377487023
87,-2415.804862976072,-2975.032329559317,581.3097953796364,-2833.182811737043,-4285.7927083969125,-403.26893329620395
88,2051.9232749939006,-5543.67423057557,4061.0432624816917,1523.5352516174316,-2509.9781155586243,-2875.0864416360855
89,214.18452262877742,2327.942848205564,390.68698883057084,4083.1446647643907,1780.7793617248537,-245.52106857299697
90,-1438.5378360748357,2024.7054100036664,-2847.9063510894753,2014.07670974731,5663.310885429383,3408.017307519913
91,3579.9288749694865,-3961.2090587615967,-2469.0508842468284,-657.0982933044434,2767.6054835319537,660.3721715509888
92,-1763.2567882537774,3063.995838165283,2196.576595306405,295.1526641845749,-4126.472771167758,349.68309104442625
93,-4279.088973999022,3392.0598030090287,5379.415750503542,696.5541839599698,-4582.666158676149,4585.220925509928
94,3930.5233955383324,-3275.8116722106975,420.41540145873125,-3772.2492218017533,2381.6788196563743,1843.8151478767395
95,4456.4938545227005,-395.5996036529564,-1970.402002334599,-1053.3249378204343,4507.046341896055,124.57946315407895
96,-2401.927709579474,1283.214092254643,-419.739484786985,433.53319168089484,-2176.268696784971,-2071.956992149353
97,-3203.7484645843483,916.0184860229537,-1665.0557518005348,-4145.164489746098,-4433.389306068419,-7590.251266956329
98,1145.8253860473633,520.2698707580608,-4411.565065383911,74.56541061403587,-1048.891246318821,-4451.515823602676
99,-1572.918891906736,-3457.9992294311564,-930.3176403045654,3017.9297924041703,1828.9917707443249,4472.009092569351
100,-446.68674468993686,-3608.2863807678264,5210.286378860475,381.61516189573416,5253.2511949539185,4465.876743197441
101,2122.896909713743,2071.5165138244715,1991.1015033721924,-1566.9536590576126,1829.355955123899,-933.200791478157
102,-4585.5414867401105,1887.9270553588867,-738.5909557342572,-2752.447128295894,-4667.582213878626,2125.818282365799
103,-330.2276134490989,-5114.5887374877975,1710.337400436399,1813.3234977722168,-2018.9654827117897,-216.37988276779652
104,6706.2711715698115,-3200.188875198362,-2199.1121768951393,4442.2125816345215,3543.0735349655106,-4511.895999312401
105,244.70925331115944,4938.437938690186,-1611.2565994262652,1663.8422012329102,872.5392818450938,337.49418333172815
106,-4359.155893325792,3790.984153747554,3774.5440006256104,-401.96418762206815,-5973.924994468687,1898.5463678836823
