,TT_Den_dot_dot,TT_Alv_dot_dot,TB_Pal_dot_dot,TB_Vel_dot_dot,TB_Pha_dot_dot,LPRO_dot_dot,LA_dot_dot,jaw,tongue,shape,apex,lip_ht,lip_pr,jaw_dot,tongue_dot,shape_dot,apex_dot,lip_ht_dot,lip_pr_dot,jaw_dot_dot predicted,tongue_dot_dot predicted,shape_dot_dot predicted,apex_dot_dot predicted,lip_ht_dot_dot predicted,lip_pr_dot_dot predicted,jaw_dot_dot,tongue_dot_dot,shape_dot_dot,apex_dot_dot,lip_ht_dot_dot,lip_pr_dot_dot,loss
502,965.0618569309444,-763.6881546830666,-8931.501566172386,-7049.968480384186,9728.447360717602,-22723.29330444336,-4979.753494262766,-0.9284359812736512,1.504485130310058,2.414122104644776,-1.0386065244674685,0.7400490045547484,2.1128702163696294,-18.5020446777344,0.09363889694218308,24.162125587463287,0.0,18.934732675552347,1.7467498779296875,1575.3047,-188.28125,1619.4375,-1539.5469,-2056.7266,-2739.5938,1850.2044677734395,-9.363889694218306,1304.5310974121226,-2270.0524330139183,-1893.4732675552343,-2812.206745147705,3.2594298e-06
503,36491.073212814335,24915.762049533507,11634.22631413887,-8014.4774334782205,-8648.931633403903,19876.670837402344,-2648.8780975341533,-2.1050868034362797,-0.9305168986320496,-2.8964109420776367,-1.0124648809432983,0.6705814599990845,-1.1164045333862305,0.0,-20.269137620925907,-16.712331771850494,-21.26660943031311,-21.60660922527312,0.0,-997.375,1705.3828,2707.5547,-1036.2266,1704.1719,241.53125,0.0,2118.6119318008427,2610.223293304425,-1928.9594888687134,1909.5942378044117,0.0,9.408136e-06
504,16459.007041290974,20889.538428540745,35014.043062512384,4214.188537900778,-27428.940840060677,3386.402130126953,939.6076202392044,-2.3053030967712402,0.647108256816864,1.3065955638885498,-2.1866056919097905,1.3616385459899902,1.52047324180603,0.0,-24.242016673088074,10.521936416625977,4.791450500488237,12.773573398590088,-7.48516321182251,-1635.1562,2723.7656,-978.10156,1908.8047,-25.648438,714.7969,-2309.005260467529,2374.158799648284,-1052.1936416625977,1708.4872722625846,-36.063194274906785,748.516321182251,3.0303675e-06
505,-8641.091002466012,-4715.263274319666,15740.73986550356,2363.21217861625,-1903.0411592296662,-34340.66772460944,7945.048809051549,0.998703122138977,2.615015029907226,2.930122375488281,-1.781181812286377,2.528938055038452,2.2699577808380127,-3.5629630088806152,4.663968086242631,0.0,0.0,27.607035636901852,-12.054657936096193,840.60156,97.640625,-3713.586,-11.578125,-3308.8906,1031.7188,-118.05355548858749,-466.39680862426314,-4179.713726043701,0.0,-3317.6755905151317,1096.594333648677,7.120368e-06
506,-19646.845378485337,-18160.92638875462,-11759.958593155545,-2983.228301938237,2467.396855441564,-28008.36563110352,4415.321350097656,-0.1253509074449539,-0.5356345176696777,1.7302697896957393,-0.1603572815656662,1.3802584409713743,1.2994863986968994,14.420511573553085,15.810328722000122,1.8160462379455788,0.0,0.0,0.0,1564.375,-162.42188,28.234375,2634.7578,-2510.9062,58.804688,1674.9724000692368,-163.23059797286987,-181.60462379455788,2426.094338297844,-2428.6472797393803,0.0,4.9162685e-07
507,-25383.759922129764,-23458.54480174438,-20099.004361686002,1025.0344950075173,20206.378317128325,-5320.644378662118,1735.9733581542969,-2.540630102157593,-0.5618414878845216,-2.5158479213714595,-1.0108283758163454,-1.2476648092269895,-0.7584804892539978,0.0,23.75116050243379,10.628271102905227,0.0,13.93878459930422,-10.343176126480092,1865.1797,-2277.6719,-747.33594,-740.97656,-280.42188,135.94531,1817.7509307861367,-2375.1160502433786,-1062.8271102905228,-1093.2254791259745,-226.66096687317338,91.75419807434312,1.0258215e-06
508,13714.164446165018,120283.57505500727,252308.1369336481,105093.55451524434,-223312.3766383484,107134.0560913086,-35981.60743713379,2.3291721343994145,-0.5578437447547913,0.7422930002212526,-1.9457631111145013,-0.1252523958683014,0.6149753332138062,-2.26376056671147,-20.571815967559825,0.0,0.0,-11.494063679128885,23.760506510734558,-6032.9375,22534.29,-23088.914,8455.422,9514.578,-5964.414,-4415.774345397941,22584.931254386905,-23811.23423576355,6320.0521469116175,9601.423973217607,-6388.223320245744,3.384933e-05
509,542.8151994133401,4199.174078963637,17736.022441656092,9995.912622126878,-12921.755738637017,18021.48818969733,-4801.58329010008,-1.4837837219238281,1.7648156881332395,1.0953942537307741,-2.366640567779541,2.3952686786651607,-0.8395919203758239,22.807168960571246,-3.6637663841247785,0.0,0.0,-17.508125305175778,7.865178585052479,-116.16406,1279.0391,-1923.25,1312.3438,1641.9297,-717.3594,124.23753738403782,1304.4583797454836,-2194.0159797668466,971.9061851501464,1750.8125305175781,-786.5178585052478,1.1759348e-06
510,12882.427722539873,8451.31971244733,1300.8415793790816,-8772.21529079975,5578.412659551439,35626.69754028327,-4539.87121582033,-0.4196970760822297,2.789788722991944,-0.7533855438232422,-2.1727056503295894,0.5286100506782532,-1.1535069942474363,10.893544554710386,0.0,0.0,0.0,-16.424858570098873,21.388357877731316,-792.6719,-483.28906,2129.8516,-1808.9375,3215.5312,186.47656,-397.8133201599126,-355.8921813964888,1858.6981296539318,-2258.4128379821864,3360.4627847671527,118.7640428543112,2.1336793e-06
511,-19645.68790648688,-11863.641974064336,-4366.742540342656,19365.95523971285,9394.878852781314,1511.2876892090726,5538.249015808052,-1.4361997842788696,1.451976537704467,-1.7573673725128172,1.3144891262054446,-0.026741454377770424,0.8187370300292968,0.0,0.0,31.753861904144312,0.0,15.280360728502268,-18.98079514503478,-100.921875,-1664.3125,-2432.4375,-91.265625,55.25,1919.2969,-427.53934860229487,-1847.5735187530493,-2613.8877868652385,-383.4390640258811,78.28868925571477,1898.0795145034774,1.1807967e-06
512,-3432.6705215634943,-587.1323509894212,8933.351318261344,7789.4317399373485,-11669.82925981944,-17189.693450927734,2150.964736938458,-2.9956934452056885,0.6057467460632324,-0.26404914259910583,-2.5406715869903564,-0.7311256527900695,0.4783929288387299,24.17306900024405,-8.848637342453001,16.463080048561096,-6.452417373657182,-21.569973230361924,0.0,-296.04688,957.75,-1416.0781,2556.7656,-1769.8516,17.15625,-342.9055213928134,884.8637342453003,-1646.3080048561096,2273.94342422484,-1705.1279544830315,0.0,6.212604e-07
